#ID	DateBP	Region	Latitude	Longitude
HG00096.SG	0	Britain	55.00	-3.50
HG00097.SG	0	Britain	55.00	-3.50
HG00099.SG	0	Britain	55.00	-3.50
HG00100.SG	0	Britain	55.00	-3.50
HG00101.SG	0	Britain	55.00	-3.50
HG00102.SG	0	Britain	55.00	-3.50
HG00103.SG	0	Britain	55.00	-3.50
HG00105.SG	0	Britain	55.00	-3.50
HG00106.SG	0	Britain	55.00	-3.50
HG00107.SG	0	Britain	55.00	-3.50
HG00108.SG	0	Britain	55.00	-3.50
HG00109.SG	0	Britain	55.00	-3.50
HG00110.SG	0	Britain	55.00	-3.50
HG00111.SG	0	Britain	55.00	-3.50
HG00112.SG	0	Britain	55.00	-3.50
HG00113.SG	0	Britain	55.00	-3.50
HG00114.SG	0	Britain	55.00	-3.50
HG00115.SG	0	Britain	55.00	-3.50
HG00116.SG	0	Britain	55.00	-3.50
HG00117.SG	0	Britain	55.00	-3.50
HG00118.SG	0	Britain	55.00	-3.50
HG00119.SG	0	Britain	55.00	-3.50
HG00120.SG	0	Britain	55.00	-3.50
HG00121.SG	0	Britain	55.00	-3.50
HG00122.SG	0	Britain	55.00	-3.50
HG00123.SG	0	Britain	55.00	-3.50
HG00124.SG	0	Britain	55.00	-3.50
HG00125.SG	0	Britain	55.00	-3.50
HG00126.SG	0	Britain	55.00	-3.50
HG00127.SG	0	Britain	55.00	-3.50
HG00128.SG	0	Britain	55.00	-3.50
HG00129.SG	0	Britain	55.00	-3.50
HG00130.SG	0	Britain	55.00	-3.50
HG00131.SG	0	Britain	55.00	-3.50
HG00132.SG	0	Britain	55.00	-3.50
HG00133.SG	0	Britain	55.00	-3.50
HG00136.SG	0	Britain	55.00	-3.50
HG00137.SG	0	Britain	55.00	-3.50
HG00138.SG	0	Britain	55.00	-3.50
HG00139.SG	0	Britain	55.00	-3.50
HG00140.SG	0	Britain	55.00	-3.50
HG00141.SG	0	Britain	55.00	-3.50
HG00142.SG	0	Britain	55.00	-3.50
HG00143.SG	0	Britain	55.00	-3.50
HG00145.SG	0	Britain	55.00	-3.50
HG00146.SG	0	Britain	55.00	-3.50
HG00148.SG	0	Britain	55.00	-3.50
HG00149.SG	0	Britain	55.00	-3.50
HG00150.SG	0	Britain	55.00	-3.50
HG00151.SG	0	Britain	55.00	-3.50
HG00154.SG	0	Britain	55.00	-3.50
HG00155.SG	0	Britain	55.00	-3.50
HG00157.SG	0	Britain	55.00	-3.50
HG00158.SG	0	Britain	55.00	-3.50
HG00159.SG	0	Britain	55.00	-3.50
HG00160.SG	0	Britain	55.00	-3.50
HG00231.SG	0	Britain	55.00	-3.50
HG00232.SG	0	Britain	55.00	-3.50
HG00233.SG	0	Britain	55.00	-3.50
HG00234.SG	0	Britain	55.00	-3.50
HG00235.SG	0	Britain	55.00	-3.50
HG00236.SG	0	Britain	55.00	-3.50
HG00237.SG	0	Britain	55.00	-3.50
HG00238.SG	0	Britain	55.00	-3.50
HG00239.SG	0	Britain	55.00	-3.50
HG00240.SG	0	Britain	55.00	-3.50
HG00242.SG	0	Britain	55.00	-3.50
HG00243.SG	0	Britain	55.00	-3.50
HG00244.SG	0	Britain	55.00	-3.50
HG00245.SG	0	Britain	55.00	-3.50
HG00246.SG	0	Britain	55.00	-3.50
HG00250.SG	0	Britain	55.00	-3.50
HG00251.SG	0	Britain	55.00	-3.50
HG00252.SG	0	Britain	55.00	-3.50
HG00253.SG	0	Britain	55.00	-3.50
HG00254.SG	0	Britain	55.00	-3.50
HG00255.SG	0	Britain	55.00	-3.50
HG00256.SG	0	Britain	55.00	-3.50
HG00257.SG	0	Britain	55.00	-3.50
HG00258.SG	0	Britain	55.00	-3.50
HG00259.SG	0	Britain	55.00	-3.50
HG00260.SG	0	Britain	55.00	-3.50
HG00261.SG	0	Britain	55.00	-3.50
HG00262.SG	0	Britain	55.00	-3.50
HG00263.SG	0	Britain	55.00	-3.50
HG00264.SG	0	Britain	55.00	-3.50
HG00265.SG	0	Britain	55.00	-3.50
HG01334.SG	0	Britain	55.00	-3.50
HG01500.SG	0	Iberia	40.00	-7.00
HG01501.SG	0	Iberia	40.00	-7.00
HG01503.SG	0	Iberia	40.00	-7.00
HG01504.SG	0	Iberia	40.00	-7.00
HG01506.SG	0	Iberia	40.00	-7.00
HG01507.SG	0	Iberia	40.00	-7.00
HG01509.SG	0	Iberia	40.00	-7.00
HG01510.SG	0	Iberia	40.00	-7.00
HG01512.SG	0	Iberia	40.00	-7.00
HG01513.SG	0	Iberia	40.00	-7.00
HG01515.SG	0	Iberia	40.00	-7.00
HG01516.SG	0	Iberia	40.00	-7.00
HG01518.SG	0	Iberia	40.00	-7.00
HG01519.SG	0	Iberia	40.00	-7.00
HG01521.SG	0	Iberia	40.00	-7.00
HG01522.SG	0	Iberia	40.00	-7.00
HG01524.SG	0	Iberia	40.00	-7.00
HG01525.SG	0	Iberia	40.00	-7.00
HG01527.SG	0	Iberia	40.00	-7.00
HG01528.SG	0	Iberia	40.00	-7.00
HG01530.SG	0	Iberia	40.00	-7.00
HG01531.SG	0	Iberia	40.00	-7.00
HG01536.SG	0	Iberia	40.00	-7.00
HG01537.SG	0	Iberia	40.00	-7.00
HG01602.SG	0	Iberia	40.00	-7.00
HG01603.SG	0	Iberia	40.00	-7.00
HG01605.SG	0	Iberia	40.00	-7.00
HG01606.SG	0	Iberia	40.00	-7.00
HG01607.SG	0	Iberia	40.00	-7.00
HG01608.SG	0	Iberia	40.00	-7.00
HG01610.SG	0	Iberia	40.00	-7.00
HG01612.SG	0	Iberia	40.00	-7.00
HG01613.SG	0	Iberia	40.00	-7.00
HG01615.SG	0	Iberia	40.00	-7.00
HG01617.SG	0	Iberia	40.00	-7.00
HG01618.SG	0	Iberia	40.00	-7.00
HG01619.SG	0	Iberia	40.00	-7.00
HG01620.SG	0	Iberia	40.00	-7.00
HG01623.SG	0	Iberia	40.00	-7.00
HG01624.SG	0	Iberia	40.00	-7.00
HG01625.SG	0	Iberia	40.00	-7.00
HG01626.SG	0	Iberia	40.00	-7.00
HG01628.SG	0	Iberia	40.00	-7.00
HG01630.SG	0	Iberia	40.00	-7.00
HG01631.SG	0	Iberia	40.00	-7.00
HG01632.SG	0	Iberia	40.00	-7.00
HG01668.SG	0	Iberia	40.00	-7.00
HG01669.SG	0	Iberia	40.00	-7.00
HG01670.SG	0	Iberia	40.00	-7.00
HG01672.SG	0	Iberia	40.00	-7.00
HG01673.SG	0	Iberia	40.00	-7.00
HG01675.SG	0	Iberia	40.00	-7.00
HG01676.SG	0	Iberia	40.00	-7.00
HG01678.SG	0	Iberia	40.00	-7.00
HG01679.SG	0	Iberia	40.00	-7.00
HG01680.SG	0	Iberia	40.00	-7.00
HG01682.SG	0	Iberia	40.00	-7.00
HG01684.SG	0	Iberia	40.00	-7.00
HG01685.SG	0	Iberia	40.00	-7.00
HG01686.SG	0	Iberia	40.00	-7.00
HG01694.SG	0	Iberia	40.00	-7.00
HG01695.SG	0	Iberia	40.00	-7.00
HG01697.SG	0	Iberia	40.00	-7.00
HG01699.SG	0	Iberia	40.00	-7.00
HG01700.SG	0	Iberia	40.00	-7.00
HG01702.SG	0	Iberia	40.00	-7.00
HG01704.SG	0	Iberia	40.00	-7.00
HG01705.SG	0	Iberia	40.00	-7.00
HG01707.SG	0	Iberia	40.00	-7.00
HG01708.SG	0	Iberia	40.00	-7.00
HG01709.SG	0	Iberia	40.00	-7.00
HG01710.SG	0	Iberia	40.00	-7.00
HG01746.SG	0	Iberia	40.00	-7.00
HG01747.SG	0	Iberia	40.00	-7.00
HG01756.SG	0	Iberia	40.00	-7.00
HG01757.SG	0	Iberia	40.00	-7.00
HG01761.SG	0	Iberia	40.00	-7.00
HG01762.SG	0	Iberia	40.00	-7.00
HG01765.SG	0	Iberia	40.00	-7.00
HG01766.SG	0	Iberia	40.00	-7.00
HG01767.SG	0	Iberia	40.00	-7.00
HG01768.SG	0	Iberia	40.00	-7.00
HG01770.SG	0	Iberia	40.00	-7.00
HG01771.SG	0	Iberia	40.00	-7.00
HG01773.SG	0	Iberia	40.00	-7.00
HG01775.SG	0	Iberia	40.00	-7.00
HG01776.SG	0	Iberia	40.00	-7.00
HG01777.SG	0	Iberia	40.00	-7.00
HG01779.SG	0	Iberia	40.00	-7.00
HG01781.SG	0	Iberia	40.00	-7.00
HG01783.SG	0	Iberia	40.00	-7.00
HG01784.SG	0	Iberia	40.00	-7.00
HG01785.SG	0	Iberia	40.00	-7.00
HG01786.SG	0	Iberia	40.00	-7.00
HG01789.SG	0	Britain	55.00	-3.50
HG01790.SG	0	Britain	55.00	-3.50
HG01791.SG	0	Britain	55.00	-3.50
HG02215.SG	0	Britain	55.00	-3.50
HG02219.SG	0	Iberia	40.00	-7.00
HG02220.SG	0	Iberia	40.00	-7.00
HG02221.SG	0	Iberia	40.00	-7.00
HG02223.SG	0	Iberia	40.00	-7.00
HG02224.SG	0	Iberia	40.00	-7.00
HG02230.SG	0	Iberia	40.00	-7.00
HG02231.SG	0	Iberia	40.00	-7.00
HG02232.SG	0	Iberia	40.00	-7.00
HG02233.SG	0	Iberia	40.00	-7.00
HG02235.SG	0	Iberia	40.00	-7.00
HG02236.SG	0	Iberia	40.00	-7.00
HG02238.SG	0	Iberia	40.00	-7.00
HG02239.SG	0	Iberia	40.00	-7.00
NA06984.SG	0	Central	50.00	14.00
NA06985.SG	0	Central	50.00	14.00
NA06986.SG	0	Central	50.00	14.00
NA06989.SG	0	Central	50.00	14.00
NA06994.SG	0	Central	50.00	14.00
NA07000.SG	0	Central	50.00	14.00
NA07037.SG	0	Central	50.00	14.00
NA07048.SG	0	Central	50.00	14.00
NA07051.SG	0	Central	50.00	14.00
NA07056.SG	0	Central	50.00	14.00
NA07347.SG	0	Central	50.00	14.00
NA07357.SG	0	Central	50.00	14.00
NA10847.SG	0	Central	50.00	14.00
NA10851.SG	0	Central	50.00	14.00
NA11829.SG	0	Central	50.00	14.00
NA11830.SG	0	Central	50.00	14.00
NA11831.SG	0	Central	50.00	14.00
NA11832.SG	0	Central	50.00	14.00
NA11840.SG	0	Central	50.00	14.00
NA11843.SG	0	Central	50.00	14.00
NA11881.SG	0	Central	50.00	14.00
NA11892.SG	0	Central	50.00	14.00
NA11893.SG	0	Central	50.00	14.00
NA11894.SG	0	Central	50.00	14.00
NA11918.SG	0	Central	50.00	14.00
NA11919.SG	0	Central	50.00	14.00
NA11920.SG	0	Central	50.00	14.00
NA11930.SG	0	Central	50.00	14.00
NA11931.SG	0	Central	50.00	14.00
NA11932.SG	0	Central	50.00	14.00
NA11933.SG	0	Central	50.00	14.00
NA11992.SG	0	Central	50.00	14.00
NA11994.SG	0	Central	50.00	14.00
NA11995.SG	0	Central	50.00	14.00
NA12003.SG	0	Central	50.00	14.00
NA12004.SG	0	Central	50.00	14.00
NA12005.SG	0	Central	50.00	14.00
NA12006.SG	0	Central	50.00	14.00
NA12043.SG	0	Central	50.00	14.00
NA12044.SG	0	Central	50.00	14.00
NA12045.SG	0	Central	50.00	14.00
NA12046.SG	0	Central	50.00	14.00
NA12058.SG	0	Central	50.00	14.00
NA12144.SG	0	Central	50.00	14.00
NA12154.SG	0	Central	50.00	14.00
NA12155.SG	0	Central	50.00	14.00
NA12156.SG	0	Central	50.00	14.00
NA12234.SG	0	Central	50.00	14.00
NA12249.SG	0	Central	50.00	14.00
NA12272.SG	0	Central	50.00	14.00
